REGISTRO,INMUEBLE,AYUNTAMIENTO,LOCALIDAD,DATE,YEAR
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Juan Evangelista,Barbarin ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita S. Jorge,Barbarin ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Martín,Eulate ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,"Pastos y Frutales, paaraje Sardegi",Metauten ,Ganuza,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Andres,Iguzquiza ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Andrés,Iguzquiza ,Labeaga,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Salvador,Iguzquiza ,Urbiola,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Cristóbal,Larraona ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Virgen Blanca,Larraona ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Martín,Luquin ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Andrés,Morentin ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Sesma ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Andres,Villamayor de Monjardin ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Villatuerta ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Local usos múltiples c/ La Iglesia,Allin,Artabia ,02/09/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Vivienda planta 1ª casa parroquial,Allin,Artabia ,02/09/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Almacen 2ª planta casa parroquial,Allin,Artabia ,02/09/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Vivienda planta 2ª casa parroquial,Allin,Artabia ,02/09/2002,2002
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Andrés,Ziga ,,02/10/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Terreno nº 47 Concentración Parcelaria,Arellano ,,03/01/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Terreno nº 324 Polígono 8 Concentración Par.,Arellano ,,03/01/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 47 Concentreción Parcelaria,Arellano ,,03/01/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº324 Concentración Parcelaria,Arellano ,,03/01/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1., Ermita Virgen de las Cuevas,Viana,,03/03/2001,2001
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Lorenzo,Arce,Arrieta,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Arce,Azparren ,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos en Ligarrieta,Arce,Azparren,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Arce,Gorraiz,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Arce,Imizcoz,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban y cementerio,Arce,Lusarreta,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Juan Bautista,Arce,Saragüeta,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Sagardi,Arce,Saragüeta,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Saturnino,Arce,Uriz,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Andres,Arce,Villanueva,03/03/2003,2003
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia La Asunción,Donamaría,Gaztelu,03/11/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia Santo Domingo,Donamaría,Gaztelu ,03/11/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia La Natividad,Oiz ,,03/11/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Miguel,Urroz ,,03/11/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Almacén Leurtzako,Urroz ,,03/11/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Almacén Leuzako,Urroz ,,03/11/2004,2004
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Miguel,Larraga,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Solar jardin 292 m2,Leoz ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Bartolomé,Leoz ,Benegorri,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Ntra. Sra de la Asunción,Leoz ,Olleta ,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Juan Bautista,Leoz ,Artariain ,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Clemente,Leoz ,Uzquita ,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Almacen c/ Santa Maria 17 A,Leoz ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Iglesia de San Andrés,Leoz ,Bezquiz ,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia La Natividad,Leoz , ,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Esteban,Leoz ,Iracheta ,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Sta. Catalina,Leoz ,Maquirriain ,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Ntra. Sra de la Asunción,Leoz ,Sansoain ,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Bartolome,Marcilla ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Ntra. Sra de la Asunción,Miranda de Arga ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Sta. Fe,Murillo El Cuende ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Sta. Maria,Murillo El Fruto ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Pedro,Olite ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Sta María,Olite ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Miguel,Oloriz ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Andrés,Oloriz,Oricin ,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Juan Evangelista,Peralta ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Torre antiguo Templo,Peralta ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Sta. María,Pueyo ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Ntra. Sra. De la Asunción,Santacara ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita Santa Eufemia,Santacara ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Sta. Maria la Real,Ujué ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Millan,Unzué ,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita Artederreta,Unzué,,04/01/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Lizoain,Urricelqui ,04/02/2008,2008
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Abaurrea Alta ,,04/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Abaurrea Baja,,04/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Andres,Arce ,,04/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Orbaizeta ,,04/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Roman,Orbara ,,04/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Cosme y S. Damian,Orontz ,,04/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Salvador,Villanueva de Aezcoa,,04/03/2003,2003
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita Virgen del Plu,Marcilla ,,04/05/2007,2007
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Sta. Maria,Aibar ,,04/10/1999,1999
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Estanislao,Erasun ,,04/11/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia La Asunción,Ezcurra ,,04/11/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Martín,Lesaca ,,04/11/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Solar PG UE-20,Lesaca ,,04/11/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Antón,Lesaca ,,04/11/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Vicente,Aranguren ,,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Aranguren, Laquidain,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Egües,Alzuza,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Vicente,Egües,Ardanaz,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Egües,,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Purificacion,Egües,Elcano,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Egües,Elia,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S Juan Bautista,Egües,Ibiricu,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Egües,Olaz,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta. Engracia,Egües,Sagaseta,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Bartolome,Egües,Ustarroz,05/01/2004,2004
REGISTRO DE LA PROPIEDAD DE TUDELA/TUTERA Nº .1.,Parroquia de Ntra Sñra. De la asunción,Murchante ,,05/03/2007,2007
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Sta. Quiteria,Romanzado,Biguezal,05/04/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Santiago,Sangüesa,,05/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Iglesia S. Salvador,Sangüesa,,05/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta Maria,Sangüesa,,05/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Sangüesa,Rocaforte,05/11/2003,2003
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Parroquia S. Lorenzo,Pamplona ,,05/12/2003,2003
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Parroquia S. Saturnino,Pamplona ,,05/12/2003,2003
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Parroquia S. Agustin,Pamplona ,,05/12/2003,2003
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Parroquia S. Nicolas,Pamplona ,,05/12/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita San Cristóbal,Aguilar de Codés,,06/03/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Santo Cristo del Humilladero,Aras,,06/03/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita a San isidro,Aras ,,06/03/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita de San Esteban,Azagra ,,06/03/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Nuestra Señora del Olmo,Azagra ,,06/03/2000,2000
REGISTRO DE LA PROPIEDAD DE TUDELA/TUTERA Nº .1.,Antiguo templo San Nicolás,Tudela ,,06/06/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Pedro,Mendigorria,,06/09/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Iglesia de Santa María,Mendigorria ,,06/09/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita de Santiago,Mendigorria ,,06/09/2006,2006
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita Nuestra Sra. De Andión,Mendigorria ,,06/09/2006,2006
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Nuestra Señora del Carrascal,Cabredo ,,06/10/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita de San Simón,Cabredo ,,06/10/2000,2000
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Egües,Azpa,06/11/2003,2003
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Vivienda nº 49 Calle Santa Cruz,Cizur Mayor ,,07/03/2001,2001
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San martín,Yerri,,07/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Juan Evangelista,Yerri,Iruñela ,07/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María de Eguiarte,Yerri,Lacar ,07/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Paroquia de Santa Cecilia,Yerri,Arizala ,07/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Miguel,Yerri,Erraul ,07/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Juan Evangelista,Yerri,Ibiricu ,07/04/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia Ntra. Sra de la Asunción,Orisoain ,,07/10/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos en Elkea,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos en Larrasoil 4.352 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos en Larrasoil 1.856 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos en Larrasoil 3.396 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos en Larrasoil 8.218 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Altos de Jandua 6.664 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en El Ginebro 1.472 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en El Ginebro 3.675 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca El Saso 5.123 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Los Pozos 3.335 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Los pozos 2.002 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Gezari Bajo 6.396 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Euntzeberri 11.725 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Viñas y pastos en Zurbaran 4.205 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca El Lezcal 1.180 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca El Ezcal 2.368 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,"Finca, viña y olivar 2.072 m2",Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Artadubarren 2.164 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Artadubarren 3.715 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca olivar Ezpondabe 2.967 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Baluriaran 3.549 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos olivar Artadubarren 1.003,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Balurriaran 3.256,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos El Lezcal 12.006 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos Santa Criz 2.972 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Pastos Santa Criz 3.022 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Dorreta 4.529 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca el Epaizaral 5.250 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Zaldinaga 6.898 m2,Eslava ,,08/06/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 166 concentración parcelaria,Cirauqui ,,09/01/2007,2007
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 1100 concentración parcelaria,Cirauqui ,,09/01/2007,2007
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Bartolome,Erro,Cilveti,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca,Esteribar,Esquiroz-Ilarraz,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Gil,Esteribar,Agorreta,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Inmaculada y cementerio,Esteribar,Antxoriz,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Justo,Esteribar,Aquerreta ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Inmaculada,Esteribar,Errea ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,"Parroquia S. Martin, porche y cementerio",Esteribar,Esquiroz-Ilarraz ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Gil,Esteribar,Eugui ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta. Eulalia,Esteribar,Guendulain ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Miguel,Esteribar,Idoy ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia del Rosario y cementerio,Esteribar,Ilurdoz ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Esteribar,Imbuluzqueta ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Lorenzo,Esteribar,Iragui ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Esteribar,Iroz ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Esteribar,Irure ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Nicolas,Esteribar,Larrasoaña,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Adrian,Esteribar,Leranoz ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Adrian,Esteribar,Olloki ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Esteribar,Osteritz,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Cristóbal,Esteribar,Saigos ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Stas. Nunilo y Arrodia,Esteribar,Sarasibar ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Juan Bautista,Esteribar,Setuain ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Miguel,Esteribar,Urdaniz ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Esteribar,Urtasun ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Esteribar,Usetxi ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Esteribar,Zubiri ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,"Parroquia S. Millan, almacen y cementerio",Esteribar,Zubiain ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Prado en Zuriainbide,Esteribar,Antxoriz ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Longuida ,,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Las Nieves,Longuida ,Erdozain ,09/09/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Martin,Arce ,,09/11/1999,1999
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Virgen Del Camino,Arce ,,09/11/1999,1999
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Santos Justo y Pastor,Izagaondoa,Indurain ,09/11/1999,1999
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Virgen de Muskilda,Ochagavía,,09/11/1999,1999
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Virgen de Las Nieves,Ochagavía,,09/11/1999,1999
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Pedro,Romanzado,Usun ,09/11/1999,1999
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Salvador,Urzainqui ,,09/11/1999,1999
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia La Asunción,Anitz ,,10/04/2002,2002
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia Santa Cruz,Elbetea ,,10/04/2002,2002
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Martín,Garzain ,,10/04/2002,2002
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Basílica Ntra. Sñra dei Oilar,Garzain ,,10/04/2002,2002
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia La Asunción,Oronoz Mugaire ,,10/04/2002,2002
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita Ntra. Sra de Jerusalen,Artajona ,,10/07/2001,2001
REGISTRO DE LA PROPIEDAD DE TAFALLA,Basilica S. Saturnino del Cerco,Artajona ,,10/07/2001,2001
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita de San Pedro,Barasoain ,,10/07/2001,2001
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita San Miguel,Barasoain ,,10/07/2001,2001
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita Santa Lucia,Barasoain ,,10/07/2001,2001
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita Cristo de Catalain,Garinoain ,,10/07/2001,2001
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita Santa Cecilia,Garinoain ,,10/07/2001,2001
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ermita de Santiago,Pueyo ,,10/07/2001,2001
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Ntra. Sra. De Mendigaña,Yerri,Azcona ,10/09/2007,2007
