REGISTRO,AYUNTAMIENTO,DATE,INMUEBLE,LOCALIDAD,YEAR,latitude,longitude
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Vidaurreta,,Parroquia S. Julián,,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Añorbe,,Ermita S. Martin,,,42.658392,-1.714551
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Berrioplano ,,Parroquia S. Martin,Loza ,,42.8413129,-1.7144035
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ezcabarte ,,Parroquia S. Martin,Maquirriain,,42.8717397,-1.6442671
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Galar,,Parroquia S. Martin,Beriain,,42.7421454,-1.660854
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Galar ,,Parroquia S. Martin,Arlegui ,,42.7438614,-1.6760365
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Galar ,,Parroquia S. Martin,Galar ,,42.7604284,-1.69801123501448
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Iza ,,Parroquia S. Martin,Iza,,42.8365008,-1.7289124
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Iza ,,Parroquia S. Martin,Aritz ,,42.861053,-1.7765743
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Iza ,,Parroquia S. Martin,Atondo,,42.8793239,-1.8154906
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Iza ,,Parroquia S. Martin,Sarasa,,42.8773063,-1.7476907
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Juslapeña ,,Parroquia S. Martin,Labaz ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Juslapeña ,,Parroquia S. Martin,Nuin,,42.9152464,-1.7181277
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Odieta ,,Parroquia S. Martin,Latasa ,,42.9510632,-1.65284454184631
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Odieta ,,Parroquia S. Martin,Ripa,,42.941146,-1.6385921
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Olaibar ,,Parroquia S. Martin,Osacain,,42.8981385,-1.59654872606383
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ollo ,,Parroquia S. Martin,Senosiain,,42.8668277,-1.8647292
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ollo ,,Parroquia S. Martin,Ulzurrun,,42.8559805,-1.8540882
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ollo ,,Parroquia S. Martin,Beasoain,,42.8525472,-1.8086582
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Olza ,,Parroquia S. Martin,Artazcoz ,,42.8187128,-1.7818798
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Zabalza ,,Parroquia S. Martin,Ubani ,,42.7735719,-1.783512
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Araiz,,Parroquia S. Martin,Gainza,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Araquil ,,Parroquia S. Martin,Villanueva,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Araquil,,Parroquia S. Martin, Zuazu,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Imoz,,Parroquia S. Martin, Muskitz,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Irurzun,,Parroquia S. Martin,,,42.9183371,-1.8285436
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Larraun,,Parroquia S. Martin,Aldaz,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Larraun,,Parroquia S. Martin,Errazquin,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ulzama,,Parroquia S. Martin, Auza,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ulzama,,Parroquia S. Martin,Iraizotz,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Anué,,Parroquia S. Miguel,Egozcue,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ciriza ,,Parroquia S. Miguel,,,42.79147755,-1.82478423094425
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Iza ,,Parroquia S. Miguel,Cia ,,42.9282808,-1.77552786926715
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Juslapeña ,,Parroquia S. Miguel,Marcalain,,42.8983982,-1.69641821492845
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Olaibar ,,Parroquia S. Miguel,Olaiz,,42.8874783,-1.6111282
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3., Biurrun-Olcoz ,,Parroquia S. Miguel,Olcoz ,,42.6654197,-1.6809363
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ollo ,,Parroquia S. Miguel,Eguillor,,42.8479572,-1.8106555
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Orcoyen,,Parroquia S. Miguel,,,42.82612875,-1.70667215650433
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Zabalza,,Parroquia S. Miguel,Arraiza,,42.767587,-1.8062607
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Araiz,,Parroquia S. Miguel,Arriba,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Araquil,,Parroquia S. Miguel,Satrústegui ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Atez,,Ermita S. Miguel,Beunza,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Atez,,Ermita S. Miguel,Beunza- Larrea ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Atez,,Parroquia S. Miguel,Erice ,,42.9391497,-1.70925006142096
