REGISTRO,AYUNTAMIENTO,DATE,INMUEBLE,LOCALIDAD,YEAR,latitude,longitude
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Tiebas,02/03/2004,Parroquia Sta. Eufemia,,2004.0,42.6940781,-1.6393237
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Unciti ,02/03/2004,Parroquia S. Pedro,,2004.0,42.7475379,-1.5019366
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Unciti,02/03/2004,Parroquia S. Martin,Artaiz ,2004.0,42.747658,-1.4705884
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Unciti,02/03/2004,Parroquia Sta. Maria,Alzorriz ,2004.0,42.71443065,-1.47573320110203
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Unciti,02/03/2004,Parroquia La Visitacion,Cemborain,2004.0,42.738175,-1.5197726
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Unciti,02/03/2004,Parroquia Sto. Tomas,Najurieta ,2004.0,42.73202065,-1.48302130262927
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Unciti,02/03/2004,Solar 329 m2,Najurieta ,2004.0,42.73202065,-1.48302130262927
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Unciti,02/03/2004,Parroquia S. Lorenzo,Zabalceta,2004.0,42.7320338,-1.5087945
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Unciti,02/03/2004,Parroquia S. Andres,Zoroquiain ,2004.0,42.72607015,-1.49911555435018
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Oroz Betelu ,02/05/2003,Parroquia S. Adrian,,2003.0,42.9171793,-1.2908548
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Uztarroz ,02/05/2003,Parroquia Sta. Engracia,,2003.0,42.8924105,-0.9407055
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Abárzuza ,02/05/2005,Parroquia La Asunción,,2005.0,42.7587324,-2.05224576148353
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Aberin ,02/05/2005,Parroquia S. Juan Bautista,,2005.0,42.6195156,-2.0076789
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Aberin ,02/05/2005,Parraquia La Asunción,Muniain ,2005.0,42.6203624,-2.0125485
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Amescoa Baja,02/05/2005,Parroquia San Bartolomé,Goleano ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Amescoa Baja,02/05/2005,Parroquia S. Andres,Zudaire,2005.0,42.7739229,-2.1340245
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Amescoa Baja,02/05/2005,Parroquia de La Natividad de Ntra Señora,Artaza ,2005.0,42.7712227,-2.1252344
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Amescoa Baja,02/05/2005,Parroquia San Juan Bautista,Baquedano ,2005.0,42.78469015,-2.11997872853917
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Amescoa Baja,02/05/2005,Parroquia San Millán,Baríndano ,2005.0,42.7675712,-2.1290192
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Amescoa Baja,02/05/2005,Parroquia San Miguel,Ecala ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Amescoa Baja,02/05/2005,Parroquia La Asunción,Urra,2005.0,42.7712227,-2.1252344
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Amescoa Baja,02/05/2005,Parroquia San Martín,San Martín,2005.0,0.0,0.0
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Aranaratxe ,02/05/2005,Parroquia S. Miguel,,2005.0,42.7795361,-2.2285728
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Arellano ,02/05/2005,Parroquia de San Román,,2005.0,42.6052502,-2.047318
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Arroniz ,02/05/2005,Parroquia S. Salvador,,2005.0,42.5888239,-2.091308
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azqueta,02/05/2005,Parroquia San Pedro,Iguzquiza,2005.0,42.6433103,-2.0821515
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Barbarin ,02/05/2005,Parroquia S. Juan Evangelista,,2005.0,42.6016906,-2.1005686
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Barbarin ,02/05/2005,Ermita S. Jorge,,2005.0,42.6016906,-2.1005686
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Eulate ,02/05/2005,Parroquia San Martín,,2005.0,42.7764335,-2.2061503
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Metauten ,02/05/2005,"Pastos y Frutales, paaraje Sardegi",Ganuza,2005.0,42.6989279,-2.134103
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Iguzquiza ,02/05/2005,Parroquia S. Andres,,2005.0,42.6463063,-2.0847845
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Iguzquiza ,02/05/2005,Parroquia San Andrés,Labeaga,2005.0,42.65166675,-2.11530136299855
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Iguzquiza ,02/05/2005,Parroquia S. Salvador,Urbiola,2005.0,42.6164818,-2.1039101
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Larraona ,02/05/2005,Parroquia S. Cristóbal,,2005.0,42.7793475,-2.2572865
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Larraona ,02/05/2005,Ermita Virgen Blanca,,2005.0,42.7793475,-2.2572865
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Luquin ,02/05/2005,Parroquia San Martín,,2005.0,42.6122984,-2.0991905
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Morentin ,02/05/2005,Parroquia San Andrés,,2005.0,42.6122145,-2.0129589
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Sesma ,02/05/2005,Parroquia Santa María,,2005.0,42.4772215,-2.0859495
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Villamayor de Monjardin ,02/05/2005,Parroquia S. Andres,,2005.0,42.6291022,-2.1038272
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Villatuerta ,02/05/2005,Parroquia La Asunción,,2005.0,42.6595159,-1.9934011
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allin,02/09/2002,Local usos múltiples c/ La Iglesia,Artabia ,2002.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allin,02/09/2002,Vivienda planta 1ª casa parroquial,Artabia ,2002.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allin,02/09/2002,Almacen 2ª planta casa parroquial,Artabia ,2002.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allin,02/09/2002,Vivienda planta 2ª casa parroquial,Artabia ,2002.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ziga ,02/10/2000,Parroquia San Andrés,,2000.0,43.1196561,-1.5716078
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Arellano ,03/01/2004,Terreno nº 47 Concentración Parcelaria,,2004.0,42.6052502,-2.047318
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Arellano ,03/01/2004,Terreno nº 324 Polígono 8 Concentración Par.,,2004.0,42.6052502,-2.047318
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Arellano ,03/01/2004,Finca nº 47 Concentreción Parcelaria,,2004.0,42.6052502,-2.047318
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Arellano ,03/01/2004,Finca nº324 Concentración Parcelaria,,2004.0,42.6052502,-2.047318
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Viana,03/03/2001, Ermita Virgen de las Cuevas,,2001.0,42.5151135,-2.3717803
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Parroquia S. Lorenzo,Arrieta,2003.0,42.9243767,-1.3711163
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Parroquia S. Martin,Azparren ,2003.0,42.8766975,-1.2814819
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Pastos en Ligarrieta,Azparren,2003.0,42.8766975,-1.2814819
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Parroquia S. Martin,Gorraiz,2003.0,42.8943147,-1.3377554
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Parroquia S. Pedro,Imizcoz,2003.0,42.9063864,-1.3655348
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Parroquia S. Esteban y cementerio,Lusarreta,2003.0,42.9326836,-1.3932844
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Parroquia S. Juan Bautista,Saragüeta,2003.0,42.921391,-1.3915878
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Finca en Sagardi,Saragüeta,2003.0,42.921391,-1.3915878
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Parroquia S. Saturnino,Uriz,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,03/03/2003,Parroquia S. Andres,Villanueva,2003.0,42.9307399,-1.371564
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Donamaría,03/11/2004,Parroquia La Asunción,Gaztelu,2004.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Donamaría,03/11/2004,Parroquia Santo Domingo,Gaztelu ,2004.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Oiz ,03/11/2004,Parroquia La Natividad,,2004.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Urroz ,03/11/2004,Parroquia San Miguel,,2004.0,42.77622695,-1.45345561675131
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Urroz ,03/11/2004,Almacén Leurtzako,,2004.0,42.77622695,-1.45345561675131
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Urroz ,03/11/2004,Almacén Leuzako,,2004.0,42.77622695,-1.45345561675131
REGISTRO DE LA PROPIEDAD DE TAFALLA,Larraga,04/01/2006,Parroquia S. Miguel,,2006.0,42.5580506,-1.8499732
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Solar jardin 292 m2,,2006.0,42.59966265,-1.53741528436626
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Parroquia S. Bartolomé,Benegorri,2006.0,42.5736972,-1.6219
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Parroquia Ntra. Sra de la Asunción,Olleta ,2006.0,42.5849362,-1.5402581
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Parroquia S. Juan Bautista,Artariain ,2006.0,,
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Parroquia S. Clemente,Uzquita ,2006.0,,
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Almacen c/ Santa Maria 17 A,,2006.0,42.59966265,-1.53741528436626
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Iglesia de San Andrés,Bezquiz ,2006.0,42.5783251,-1.5975984
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Parroquia La Natividad, ,2006.0,42.59966265,-1.53741528436626
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Parroquia S. Esteban,Iracheta ,2006.0,,
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Parroquia Sta. Catalina,Maquirriain ,2006.0,,
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,04/01/2006,Parroquia Ntra. Sra de la Asunción,Sansoain ,2006.0,42.5847764,-1.5402267
REGISTRO DE LA PROPIEDAD DE TAFALLA,Marcilla ,04/01/2006,Parroquia S. Bartolome,,2006.0,42.3257492,-1.7388719
REGISTRO DE LA PROPIEDAD DE TAFALLA,Miranda de Arga ,04/01/2006,Parroquia Ntra. Sra de la Asunción,,2006.0,42.4829883,-1.8266758
REGISTRO DE LA PROPIEDAD DE TAFALLA,Murillo El Cuende ,04/01/2006,Parroquia Sta. Fe,,2006.0,42.3978702,-1.629953
REGISTRO DE LA PROPIEDAD DE TAFALLA,Murillo El Fruto ,04/01/2006,Parroquia Sta. Maria,,2006.0,42.3909899,-1.4599999
REGISTRO DE LA PROPIEDAD DE TAFALLA,Olite ,04/01/2006,Parroquia S. Pedro,,2006.0,42.4810817,-1.6515748
REGISTRO DE LA PROPIEDAD DE TAFALLA,Olite ,04/01/2006,Parroquia Sta María,,2006.0,42.4810817,-1.6515748
REGISTRO DE LA PROPIEDAD DE TAFALLA,Oloriz ,04/01/2006,Parroquia S. Miguel,,2006.0,42.64051815,-1.59898119518942
REGISTRO DE LA PROPIEDAD DE TAFALLA,Oloriz,04/01/2006,Parroquia S. Andrés,Oricin ,2006.0,,
REGISTRO DE LA PROPIEDAD DE TAFALLA,Peralta ,04/01/2006,Parroquia S. Juan Evangelista,,2006.0,42.3385459,-1.7970061
REGISTRO DE LA PROPIEDAD DE TAFALLA,Peralta ,04/01/2006,Torre antiguo Templo,,2006.0,42.3385459,-1.7970061
REGISTRO DE LA PROPIEDAD DE TAFALLA,Pueyo ,04/01/2006,Parroquia Sta. María,,2006.0,42.5658927,-1.6478139
REGISTRO DE LA PROPIEDAD DE TAFALLA,Santacara ,04/01/2006,Parroquia Ntra. Sra. De la Asunción,,2006.0,42.3754863,-1.5477761
REGISTRO DE LA PROPIEDAD DE TAFALLA,Santacara ,04/01/2006,Ermita Santa Eufemia,,2006.0,42.3754863,-1.5477761
REGISTRO DE LA PROPIEDAD DE TAFALLA,Ujué ,04/01/2006,Parroquia Sta. Maria la Real,,2006.0,42.5060805,-1.4993879
REGISTRO DE LA PROPIEDAD DE TAFALLA,Unzué ,04/01/2006,Parroquia S. Millan,,2006.0,42.66360335,-1.62527620161173
REGISTRO DE LA PROPIEDAD DE TAFALLA,Unzué,04/01/2006,Ermita Artederreta,,2006.0,42.66360335,-1.62527620161173
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,04/02/2008,Parroquia S. Martin,Urricelqui ,2008.0,42.8710814,-1.4705387
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Abaurrea Alta ,04/03/2003,Parroquia S. Pedro,,2003.0,42.9013468,-1.196840920488
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Abaurrea Baja,04/03/2003,Parroquia S. Martin,,2003.0,42.90408765,-1.23120226177847
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce ,04/03/2003,Parroquia S. Andres,,2003.0,42.88939555,-1.37804873285884
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Orbaizeta ,04/03/2003,Parroquia S. Pedro,,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Orbara ,04/03/2003,Parroquia S. Roman,,2003.0,42.9661373,-1.2417917
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Orontz ,04/03/2003,Parroquia S. Cosme y S. Damian,,2003.0,42.8232707,-1.6508425
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Villanueva de Aezcoa,04/03/2003,Parroquia S. Salvador,,2003.0,,
REGISTRO DE LA PROPIEDAD DE TAFALLA,Marcilla ,04/05/2007,Ermita Virgen del Plu,,2007.0,42.3257492,-1.7388719
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aibar ,04/10/1999,Ermita Sta. Maria,,1999.0,42.592021,-1.3599999
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Erasun ,04/11/2004,Parroquia San Estanislao,,2004.0,43.0608688,-1.7857238
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ezcurra ,04/11/2004,Parroquia La Asunción,,2004.0,43.1344218,-1.679014
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Lesaca ,04/11/2004,Parroquia San Martín,,2004.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Lesaca ,04/11/2004,Solar PG UE-20,,2004.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Lesaca ,04/11/2004,Ermita San Antón,,2004.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aranguren ,05/01/2004,Parroquia S. Vicente,,2004.0,42.7895619,-1.5354782
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aranguren,05/01/2004,Parroquia S. Martin, Laquidain,2004.0,42.7784341,-1.5242018
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,05/01/2004,Parroquia S. Esteban,Alzuza,2004.0,42.8391591,-1.565412
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,05/01/2004,Parroquia S. Vicente,Ardanaz,2004.0,42.8061562,-1.5566715
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,05/01/2004,Parroquia S. Martin,,2004.0,42.8254142,-1.5527118
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,05/01/2004,Parroquia La Purificacion,Elcano,2004.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,05/01/2004,Parroquia La Asuncion,Elia,2004.0,42.8418306,-1.5170132
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,05/01/2004,Parroquia S Juan Bautista,Ibiricu,2004.0,42.8274508,-1.5378862
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,05/01/2004,Parroquia S. Pedro,Olaz,2004.0,42.8214202,-1.586558
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,05/01/2004,Parroquia Sta. Engracia,Sagaseta,2004.0,42.8423075,-1.543529
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,05/01/2004,Parroquia S. Bartolome,Ustarroz,2004.0,42.8144436,-1.5209213
REGISTRO DE LA PROPIEDAD DE TUDELA/TUTERA Nº .1.,Murchante ,05/03/2007,Parroquia de Ntra Sñra. De la asunción,,2007.0,42.0309725,-1.655853
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Romanzado,05/04/2000,Ermita Sta. Quiteria,Biguezal,2000.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Sangüesa,05/11/2003,Parroquia Santiago,,2003.0,42.5754899,-1.283336
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Sangüesa,05/11/2003,Iglesia S. Salvador,,2003.0,42.5754899,-1.283336
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Sangüesa,05/11/2003,Parroquia Sta Maria,,2003.0,42.5754899,-1.283336
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Sangüesa,05/11/2003,Parroquia La Asuncion,Rocaforte,2003.0,42.591997,-1.2890343
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Pamplona ,05/12/2003,Parroquia S. Lorenzo,,2003.0,42.8185502,-1.6444165
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Pamplona ,05/12/2003,Parroquia S. Saturnino,,2003.0,42.8185502,-1.6444165
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Pamplona ,05/12/2003,Parroquia S. Agustin,,2003.0,42.8185502,-1.6444165
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .2.,Pamplona ,05/12/2003,Parroquia S. Nicolas,,2003.0,42.8185502,-1.6444165
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Aguilar de Codés,06/03/2000,Ermita San Cristóbal,,2000.0,42.6131528,-2.3901003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Aras,06/03/2000,Ermita Santo Cristo del Humilladero,,2000.0,42.56771435,-2.3566863095677
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Aras ,06/03/2000,Ermita a San isidro,,2000.0,42.56771435,-2.3566863095677
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra ,06/03/2000,Ermita de San Esteban,,2000.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra ,06/03/2000,Ermita Nuestra Señora del Olmo,,2000.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE TUDELA/TUTERA Nº .1.,Tudela ,06/06/2005,Antiguo templo San Nicolás,,2005.0,42.0639202,-1.6051916
REGISTRO DE LA PROPIEDAD DE TAFALLA,Mendigorria,06/09/2006,Parroquia S. Pedro,,2006.0,42.6265594,-1.8338648
REGISTRO DE LA PROPIEDAD DE TAFALLA,Mendigorria ,06/09/2006,Iglesia de Santa María,,2006.0,42.6265594,-1.8338648
REGISTRO DE LA PROPIEDAD DE TAFALLA,Mendigorria ,06/09/2006,Ermita de Santiago,,2006.0,42.6265594,-1.8338648
REGISTRO DE LA PROPIEDAD DE TAFALLA,Mendigorria ,06/09/2006,Ermita Nuestra Sra. De Andión,,2006.0,42.6265594,-1.8338648
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cabredo ,06/10/2000,Ermita Nuestra Señora del Carrascal,,2000.0,42.629694,-2.4115903
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cabredo ,06/10/2000,Ermita de San Simón,,2000.0,42.629694,-2.4115903
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,06/11/2003,Parroquia S. Martin,Azpa,2003.0,42.8060843,-1.5220324
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cizur Mayor ,07/03/2001,Vivienda nº 49 Calle Santa Cruz,,2001.0,42.7920648,-1.6859675
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,07/04/2005,Parroquia San martín,,2005.0,42.7197926,-1.98033981379245
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,07/04/2005,Parroquia San Juan Evangelista,Iruñela ,2005.0,42.7410468,-2.0109679
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,07/04/2005,Parroquia Santa María de Eguiarte,Lacar ,2005.0,42.6847646,-1.9586693
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,07/04/2005,Paroquia de Santa Cecilia,Arizala ,2005.0,42.7277927,-1.9995147
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,07/04/2005,Parroquia San Miguel,Erraul ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,07/04/2005,Parroquia San Juan Evangelista,Ibiricu ,2005.0,42.7468193,-2.0229412
REGISTRO DE LA PROPIEDAD DE TAFALLA,Orisoain ,07/10/2003,Parroquia Ntra. Sra de la Asunción,,2003.0,42.6012653,-1.6042418
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Pastos en Elkea,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Pastos en Larrasoil 4.352 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Pastos en Larrasoil 1.856 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Pastos en Larrasoil 3.396 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Pastos en Larrasoil 8.218 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca Altos de Jandua 6.664 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca en El Ginebro 1.472 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca en El Ginebro 3.675 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca El Saso 5.123 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca Los Pozos 3.335 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca Los pozos 2.002 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca en Gezari Bajo 6.396 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca en Euntzeberri 11.725 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Viñas y pastos en Zurbaran 4.205 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca El Lezcal 1.180 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca El Ezcal 2.368 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,"Finca, viña y olivar 2.072 m2",,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca Artadubarren 2.164 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca Artadubarren 3.715 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca olivar Ezpondabe 2.967 m2,,2004.0,42.5642869,-1.4597313
